时间,通道 A
(us),(mV)

102.67399096,-0.11741682
102.67919096,-0.11741682
102.68439096,0.00000000
102.68959096,-0.11741682
102.69479096,-0.01956947
102.69999096,0.02935421
102.70519096,-0.09784736
102.71039095,0.01956947
102.71559095,-0.04892368
102.72079095,-0.06849315
102.72599095,-0.06849315
102.73119095,-0.05870841
102.73639095,-0.06849315
102.74159095,-0.04892368
102.74679095,-0.07827789
102.75199095,-0.09784736
102.75719095,-0.21526419
102.76239095,-0.12720156
102.76759095,0.07827789
102.77279095,-0.05870841
102.77799095,0.00978474
102.78319095,0.01956947
102.78839095,-0.06849315
102.79359095,-0.02935421
102.79879095,0.00978474
102.80399095,-0.05870841
102.80919095,-0.06849315
102.81439095,-0.12720156
102.81959095,0.02935421
102.82479094,-0.17612524
102.82999094,-0.07827789
102.83519094,-0.08806262
102.84039094,-0.16634050
102.84559094,-0.03913894
102.85079094,0.00000000
102.85599094,-0.12720156
102.86119094,-0.07827789
102.86639094,-0.01956947
102.87159094,0.02935421
102.87679094,-0.00978474
102.88199094,-0.03913894
102.88719094,-0.03913894
102.89239094,-0.11741682
102.89759094,-0.01956947
102.90279094,-0.08806262
102.90799094,-0.03913894
102.91319094,-0.07827789
102.91839094,-0.11741682
102.92359094,0.02935421
102.92879094,-0.04892368
102.93399094,-0.09784736
102.93919093,0.00978474
102.94439093,-0.10763209
102.94959093,-0.01956947
102.95479093,-0.01956947
102.95999093,-0.08806262
102.96519093,-0.11741682
102.97039093,0.00978474
102.97559093,0.04892368
102.98079093,-0.01956947
102.98599093,-0.03913894
102.99119093,-0.02935421
102.99639093,-0.04892368
103.00159093,-0.09784736
103.00679093,-0.04892368
103.01199093,-0.00978474
103.01719093,-0.03913894
103.02239093,-0.02935421
103.02759093,0.00000000
103.03279093,-0.01956947
103.03799093,-0.05870841
103.04319093,-0.14677103
103.04839093,-0.05870841
103.05359092,-0.04892368
103.05879092,0.17612524
103.06399092,-0.08806262
103.06919092,-0.08806262
103.07439092,-0.08806262
103.07959092,0.02935421
103.08479092,0.00000000
103.08999092,-0.19569471
103.09519092,-0.05870841
103.10039092,-0.07827789
103.10559092,-0.05870841
103.11079092,-0.10763209
103.11599092,-0.10763209
103.12119092,-0.16634050
103.12639092,-0.03913894
103.13159092,0.00978474
103.13679092,0.01956947
103.14199092,-0.05870841
103.14719092,-0.04892368
103.15239092,-0.07827789
103.15759092,-0.04892368
103.16279092,-0.10763209
103.16799091,-0.04892368
103.17319091,-0.05870841
103.17839091,0.00000000
103.18359091,-0.04892368
103.18879091,0.06849315
103.19399091,-0.11741682
103.19919091,-0.05870841
103.20439091,-0.05870841
103.20959091,0.14677103
103.21479091,-0.02935421
103.21999091,-0.00978474
103.22519091,-0.07827789
103.23039091,-0.05870841
103.23559091,-0.06849315
103.24079091,-0.05870841
103.24599091,-0.10763209
103.25119091,-0.14677103
103.25639091,-0.01956947
103.26159091,0.03913894
103.26679091,-0.10763209
103.27199091,0.00978474
103.27719091,-0.00978474
103.28239090,-0.03913894
103.28759090,-0.06849315
103.29279090,-0.09784736
103.29799090,-0.04892368
103.30319090,-0.05870841
103.30839090,-0.07827789
103.31359090,0.00000000
103.31879090,-0.01956947
103.32399090,-0.07827789
103.32919090,-0.05870841
103.33439090,-0.01956947
103.33959090,0.01956947
103.34479090,-0.09784736
103.34999090,-0.00978474
103.35519090,-0.04892368
103.36039090,0.00000000
103.36559090,-0.01956947
103.37079090,-0.03913894
103.37599090,-0.03913894
103.38119090,-0.00978474
103.38639090,-0.03913894
103.39159090,-0.00978474
103.39679089,0.04892368
103.40199089,0.00000000
103.40719089,-0.01956947
103.41239089,0.00000000
103.41759089,-0.03913894
103.42279089,-0.09784736
103.42799089,-0.01956947
103.43319089,0.04892368
103.43839089,-0.02935421
103.44359089,-0.04892368
103.44879089,-0.03913894
103.45399089,-0.07827789
103.45919089,-0.04892368
103.46439089,0.00000000
103.46959089,-0.00978474
103.47479089,-0.10763209
103.47999089,-0.02935421
103.48519089,-0.07827789
103.49039089,0.04892368
103.49559089,-0.00978474
103.50079089,0.02935421
103.50599088,0.01956947
103.51119088,0.00978474
103.51639088,-0.06849315
103.52159088,-0.04892368
103.52679088,-0.05870841
103.53199088,-0.05870841
103.53719088,-0.08806262
103.54239088,-0.03913894
103.54759088,-0.04892368
103.55279088,-0.06849315
103.55799088,0.01956947
103.56319088,-0.11741682
103.56839088,-0.04892368
103.57359088,-0.07827789
103.57879088,-0.04892368
103.58399088,-0.05870841
103.58919088,-0.11741682
103.59439088,-0.11741682
103.59959088,-0.08806262
103.60479088,0.01956947
103.60999088,0.05870841
103.61519088,-0.13698630
103.62039087,-0.01956947
103.62559087,-0.00978474
103.63079087,0.01956947
103.63599087,-0.01956947
103.64119087,-0.03913894
103.64639087,-0.10763209
103.65159087,-0.02935421
103.65679087,-0.02935421
103.66199087,0.09784736
103.66719087,-0.01956947
103.67239087,-0.05870841
103.67759087,0.02935421
103.68279087,-0.10763209
103.68799087,-0.02935421
103.69319087,-0.12720156
103.69839087,-0.12720156
103.70359087,-0.10763209
103.70879087,-0.05870841
103.71399087,-0.02935421
103.71919087,0.06849315
103.72439087,-0.12720156
103.72959087,-0.05870841
103.73479086,0.03913894
103.73999086,0.05870841
103.74519086,-0.05870841
103.75039086,-0.04892368
103.75559086,0.05870841
103.76079086,-0.06849315
103.76599086,-0.01956947
103.77119086,-0.10763209
103.77639086,-0.00978474
103.78159086,0.04892368
103.78679086,-0.08806262
103.79199086,0.01956947
103.79719086,-0.05870841
103.80239086,-0.01956947
103.80759086,-0.01956947
103.81279086,-0.10763209
103.81799086,0.07827789
103.82319086,-0.07827789
103.82839086,-0.04892368
103.83359086,-0.05870841
103.83879086,-0.07827789
103.84399086,-0.01956947
103.84919085,-0.04892368
103.85439085,-0.11741682
103.85959085,-0.04892368
103.86479085,-0.01956947
103.86999085,-0.06849315
103.87519085,-0.03913894
103.88039085,-0.05870841
103.88559085,0.03913894
103.89079085,-0.09784736
103.89599085,-0.06849315
103.90119085,-0.01956947
103.90639085,-0.10763209
103.91159085,0.00978474
103.91679085,-0.03913894
103.92199085,-0.03913894
103.92719085,-0.09784736
103.93239085,-0.10763209
103.93759085,0.05870841
103.94279085,-0.03913894
103.94799085,-0.05870841
103.95319085,0.02935421
103.95839085,-0.14677103
103.96359084,-0.03913894
103.96879084,-0.01956947
103.97399084,-0.07827789
103.97919084,-0.04892368
103.98439084,-0.05870841
103.98959084,0.07827789
103.99479084,-0.02935421
103.99999084,-0.00978474
104.00519084,-0.11741682
104.01039084,-0.00978474
104.01559084,0.02935421
104.02079084,-0.02935421
104.02599084,-0.09784736
104.03119084,-0.04892368
104.03639084,-0.03913894
104.04159084,0.04892368
104.04679084,0.07827789
104.05199084,-0.05870841
104.05719084,0.00978474
104.06239084,-0.01956947
104.06759084,-0.05870841
104.07279084,0.00978474
104.07799083,0.00000000
104.08319083,0.00000000
104.08839083,0.05870841
104.09359083,0.00000000
104.09879083,0.05870841
104.10399083,0.04892368
104.10919083,-0.10763209
104.11439083,-0.00978474
104.11959083,0.02935421
104.12479083,0.00000000
104.12999083,-0.03913894
104.13519083,-0.08806262
104.14039083,-0.04892368
104.14559083,-0.09784736
104.15079083,0.00000000
104.15599083,-0.01956947
104.16119083,0.02935421
104.16639083,-0.03913894
104.17159083,-0.06849315
104.17679083,-0.02935421
104.18199083,-0.09784736
104.18719082,-0.08806262
104.19239082,-0.04892368
104.19759082,0.03913894
104.20279082,-0.04892368
104.20799082,-0.03913894
104.21319082,-0.09784736
104.21839082,0.00000000
104.22359082,0.04892368
104.22879082,0.04892368
104.23399082,-0.15655577
104.23919082,-0.06849315
104.24439082,-0.05870841
104.24959082,-0.03913894
104.25479082,0.03913894
104.25999082,-0.01956947
104.26519082,-0.08806262
104.27039082,-0.02935421
104.27559082,-0.03913894
104.28079082,-0.03913894
104.28599082,0.05870841
104.29119082,-0.03913894
104.29639082,-0.10763209
